/var/log,77,alert
/tmp,0,ok
/usr/bin,88,alert
/etc,0,ok
dkjfklsdjf,0,not exists
/var/log,77,alert
/tmp,0,ok
/usr/bin,88,alert
/etc,0,ok
dkjfklsdjf,0,not exists
/var/log,77,alert
/tmp,0,ok
/usr/bin,88,alert
/etc,0,ok
dkjfklsdjf,0,not exists
/var/log,77,alert
/tmp,0,ok
/usr/bin,88,alert
/etc,0,ok
dkjfklsdjf,0,not exists
/var/log,77,alert
/tmp,0,ok
/usr/bin,88,alert
/etc,0,ok
dkjfklsdjf,0,not exists
/var/log,77,alert
/tmp,0,ok
/usr/bin,88,alert
/etc,0,ok
dkjfklsdjf,0,not exists
/var/log,77,alert
/tmp,0,ok
/usr/bin,88,alert
/etc,0,ok
dkjfklsdjf,0,not exists
